,DN,target,Name,x_centroid,y_centroid,area_m,perimeter,glaciersum,mean_elevation,median_elevation,std_elevation,min_elevation,max_elevation,range_elevation,variance_elevation,region,region_name,mean_slope,median_slope,std_slope,min_slope,max_slope,range_slope,variance_slope,glarea_percent,glacier,x_wgs,y_wgs,M,Rc,Cc,mean_annual_T,mean_jan_T,mean_july_T,mean_monsoon_T,mean_no_monsoon_T,count_zeros
0,2,1,DF,6533932.497,-500205.44,323908.568,3584.675,0.0,4738.9647887323945,4764.5,184.3249355316805,4136.0,5029.0,893.0,33975.68185875817,1,langtang,33.81728461650616,31.014997482299805,13.757274682303038,4.778122425079346,73.4540023803711,68.67587995529175,189.26260668433616,0.0,0,85.622,28.207,508232.7848958901,0.3167617444645918,1.789409763803009,-4.6984253,-13.451904,4.0311584,0.353302,-9.77121,6.6875
1,3,1,DF,6534113.836,-500799.045,182483.7,2922.889,0.0,4568.158333333334,4594.5,148.64044962219702,4192.0,4797.0,605.0,22093.98326388889,1,langtang,38.227588244279225,39.34077835083008,15.46321001140551,3.026157855987549,69.20509338378906,66.17893552780151,239.1108638568316,0.0,0,85.617,28.205,258444.57102539417,0.2684165539162029,1.9438892477843408,-4.6984253,-13.451904,4.0311584,0.353302,-9.77121,6.6875
3,4,1,DF,6533894.325,-503821.445,205294.163,2702.293,0.0,4182.414814814815,4179.0,149.4510639683171,3875.0,4505.0,630.0,22335.620521262008,1,langtang,34.20976908295243,35.89506721496582,7.670292987776401,12.046069145202637,49.8390007019043,37.79293155670166,58.83339451833183,0.0,0,85.591,28.205,285449.21316181624,0.3532820672846866,1.6943977622555888,-4.6984253,-13.451904,4.0311584,0.353302,-9.77121,6.6875
7,5,0,"Mixed - new looks FF, vegetated DF",6531952.768,-502250.739,8413968.867,19907.851,2763.123,4867.525383920506,4886.5,386.8376570770892,3891.0,5688.0,1797.0,149643.37293289165,1,langtang,23.621487331347307,22.46461677551269,11.392533015789288,0.367312133312225,59.19644546508789,58.82913333177567,129.78980851584896,0.0328397102922154,1,85.603,28.226,5212529.519440269,0.2667853647803236,1.949822892142408,-4.6984253,-13.451904,4.0311584,0.353302,-9.77121,6.6875
8,7,0,FF - lower lef DF remnants?,6535837.722,-503989.91,359644.959,3750.121,0.0,4346.589852008457,4321.0,195.95390595377387,3992.0,4757.0,765.0,38397.933258540455,1,langtang,36.69247503562911,37.26948547363281,9.572365879597502,6.21984338760376,58.032840728759766,51.812997341156006,91.63018853288244,0.0,0,85.591,28.184,458773.6055297591,0.3213610812084455,1.776558552829891,-4.6984253,-13.451904,4.0311584,0.353302,-9.77121,6.6875
12,8,1,DF,6535629.165,-499066.797,1520.698,165.447,0.0,4277.5,4277.5,18.5,4259.0,4296.0,37.0,342.25,1,langtang,52.367095947265625,52.367095947265625,0.286304473876953,52.08079147338867,52.65340042114258,0.572608947753906,0.081970251761959,0.0,0,85.633,28.19,1442.856736478019,0.6981279819885284,1.2053374295116617,-4.6984253,-13.451904,4.0311584,0.353302,-9.77121,6.6875
14,9,1,DF,6536133.376,-499421.454,209095.906,3143.484,0.0,4847.643636363637,4878.0,216.3769024504454,4065.0,5244.0,1179.0,46818.96391404957,1,langtang,45.22294535896995,46.91382598876953,8.635346162823964,9.57253360748291,62.79252624511719,53.21999263763428,74.56920335179855,0.0,0,85.631,28.185,539121.3984550659,0.2659089072393097,1.9530336365889167,-4.6984253,-13.451904,4.0311584,0.353302,-9.77121,6.6875
15,10,1,DF,6536290.894,-500041.971,549732.147,4301.61,0.0,4865.479944674966,4899.0,246.73182887347568,4159.0,5288.0,1129.0,60876.59537925009,1,langtang,46.34422872867822,46.75567626953125,9.226704063567418,6.00239372253418,66.85993957519531,60.85754585266113,85.13206787665149,0.0,0,85.625,28.183,837084.9022555759,0.3733351936731003,1.6482637209334634,-4.6984253,-13.451904,4.0311584,0.353302,-9.77121,6.6875
17,11,1,DF,6536122.343,-500660.318,238749.508,2757.442,0.0,4738.426751592357,4737.0,202.29102463384177,4275.0,5179.0,904.0,40921.658647409575,1,langtang,48.055360578427646,47.42595100402832,8.628709175922282,10.586888313293455,68.67003631591797,58.08314800262451,74.4546220426454,0.0,0,85.62,28.184,441712.4833301953,0.3945840960652223,1.6032689335144017,-4.6984253,-13.451904,4.0311584,0.353302,-9.77121,6.6875
19,13,1,DF,6531724.749,-508866.001,326189.614,3198.633,0.0,4751.25641025641,4726.0,241.7397982500528,4185.0,5246.0,1061.0,58438.13005797624,1,langtang,49.79411228664549,49.69479370117188,11.229540082682847,7.315506458282471,72.09674835205078,64.78124189376831,126.1025704685807,0.0,0,85.545,28.223,605969.0573467378,0.4006371020792273,1.591111383269198,-1.0298767,-9.377777,6.9677734,3.7331238,-5.812683,10.3125
