iter	Passed	Remaining
0	5	5975
1	9	4568
2	15	5069
3	20	4998
4	25	5064
5	29	4954
6	36	5205
7	42	5265
8	48	5309
9	54	5363
10	58	5232
11	62	5140
12	68	5196
13	74	5222
14	78	5135
15	85	5228
16	91	5297
17	95	5229
18	101	5252
19	107	5259
20	114	5331
21	118	5250
22	124	5272
23	129	5269
24	134	5245
25	140	5244
26	146	5295
27	151	5247
28	155	5204
29	161	5212
30	167	5245
31	175	5306
32	182	5347
33	187	5317
34	193	5331
35	197	5295
36	203	5294
37	210	5322
38	214	5295
39	218	5240
40	222	5194
41	225	5143
42	228	5081
43	234	5085
44	238	5055
45	241	5007
46	244	4963
47	247	4917
48	251	4877
49	255	4850
50	258	4802
51	261	4766
52	264	4727
53	267	4683
54	270	4640
55	273	4616
56	276	4577
57	279	4534
58	282	4501
59	285	4477
60	289	4451
61	291	4409
62	294	4378
63	297	4346
64	299	4315
65	303	4288
66	306	4267
67	309	4240
68	312	4216
69	316	4203
70	319	4180
71	321	4150
72	325	4129
73	327	4098
74	330	4070
75	333	4050
76	335	4026
77	338	4006
78	341	3986
79	346	3983
80	349	3966
81	352	3950
82	356	3936
83	359	3919
84	362	3903
85	365	3887
86	369	3874
87	371	3853
88	374	3833
89	378	3824
90	382	3816
91	384	3798
92	387	3775
93	389	3757
94	392	3739
95	395	3722
96	398	3713
97	401	3695
98	404	3681
99	408	3677
100	411	3664
101	414	3650
102	418	3641
103	421	3627
104	424	3616
105	427	3607
106	430	3593
107	433	3579
108	436	3571
109	440	3562
110	443	3554
111	446	3541
112	449	3531
113	453	3524
114	456	3512
115	458	3496
116	461	3481
117	464	3470
118	468	3467
119	472	3463
120	474	3449
121	477	3439
122	481	3429
123	484	3422
124	487	3411
125	489	3398
126	492	3387
127	496	3380
128	498	3368
129	502	3365
130	505	3354
131	508	3343
132	510	3330
133	513	3320
134	517	3312
135	520	3305
136	523	3295
137	526	3286
138	528	3276
139	532	3269
140	535	3261
141	538	3254
142	541	3246
143	544	3235
144	546	3222
145	549	3212
146	552	3207
147	555	3199
148	558	3191
149	562	3188
150	566	3185
151	569	3175
152	572	3167
153	574	3155
154	576	3144
155	579	3134
156	582	3126
157	585	3117
158	587	3106
159	591	3103
160	594	3097
161	596	3087
162	599	3080
163	602	3071
164	605	3062
165	607	3051
166	609	3041
167	612	3035
168	615	3026
169	619	3023
170	623	3023
171	626	3016
172	629	3008
173	632	3001
174	635	2996
175	638	2991
176	642	2985
177	644	2978
178	647	2971
179	736	3355
180	841	3806
181	902	4055
182	908	4055
183	914	4054
184	918	4045
185	923	4043
186	927	4034
187	932	4028
188	939	4029
189	944	4024
190	950	4027
191	957	4030
192	962	4025
193	968	4022
194	974	4020
195	979	4017
196	985	4018
197	992	4019
198	998	4018
199	1003	4012
200	1006	4001
201	1009	3989
202	1012	3976
203	1016	3964
204	1019	3952
205	1021	3938
206	1025	3927
207	1028	3914
208	1030	3901
209	1034	3890
210	1037	3879
211	1040	3866
212	1043	3857
213	1046	3845
214	1050	3834
215	1053	3822
216	1056	3811
217	1059	3801
218	1064	3794
219	1068	3788
220	1071	3776
221	1074	3766
222	1078	3756
223	1080	3744
224	1084	3734
225	1088	3726
226	1091	3715
227	1093	3703
228	1096	3692
229	1100	3684
230	1103	3673
231	1107	3667
232	1110	3657
233	1113	3646
234	1117	3636
235	1119	3624
236	1122	3614
237	1125	3604
238	1129	3596
239	1132	3587
240	1136	3578
241	1139	3568
242	1141	3557
243	1144	3544
244	1147	3536
245	1150	3525
246	1153	3515
247	1156	3506
248	1159	3497
249	1163	3489
250	1166	3479
251	1200	3563
252	1208	3567
253	1214	3566
254	1219	3564
255	1226	3563
256	1232	3564
257	1236	3554
258	1240	3550
259	1246	3548
260	1251	3543
261	1254	3533
262	1257	3523
263	1260	3513
264	1263	3504
265	1266	3494
266	1269	3485
267	1272	3476
268	1275	3466
269	1278	3457
270	1281	3447
271	1284	3438
272	1287	3428
273	1290	3418
274	1292	3407
275	1296	3399
276	1298	3390
277	1301	3380
278	1304	3372
279	1308	3363
280	1311	3354
281	1314	3345
282	1316	3336
283	1320	3328
284	1322	3319
285	1326	3310
286	1329	3301
287	1332	3293
288	1335	3285
289	1339	3279
290	1343	3272
291	1347	3266
292	1350	3258
293	1353	3249
294	1356	3240
295	1358	3231
296	1361	3222
297	1364	3214
298	1368	3207
299	1372	3201
300	1374	3192
301	1377	3184
302	1381	3177
303	1384	3169
304	1388	3163
305	1393	3161
306	1399	3159
307	1405	3158
308	1410	3154
309	1418	3156
310	1423	3153
311	1428	3150
312	1433	3145
313	1437	3140
314	1442	3136
315	1447	3134
316	1453	3132
317	1460	3131
318	1464	3127
319	1470	3124
320	1476	3123
321	1480	3117
322	1486	3115
323	1492	3113
324	1497	3110
325	1503	3107
326	1507	3102
327	1513	3100
328	1518	3097
