iter	Passed	Remaining
0	68	68025
1	71	35837
2	75	25112
3	78	19561
4	81	16223
5	84	14005
6	87	12377
7	90	11161
8	92	10233
9	95	9486
10	99	8912
11	102	8436
12	105	7980
13	107	7594
14	110	7260
15	113	6960
16	115	6682
17	118	6447
18	120	6221
19	122	6013
20	125	5835
21	128	5720
22	131	5569
23	133	5424
24	135	5284
25	137	5168
26	140	5067
27	142	4957
28	145	4859
29	147	4770
30	150	4692
31	152	4617
32	155	4554
33	157	4479
34	160	4416
35	162	4349
36	164	4284
37	166	4225
38	169	4170
39	171	4119
40	173	4066
41	176	4020
42	178	3975
43	181	3948
44	183	3904
45	186	3861
46	188	3822
47	190	3782
48	192	3742
49	195	3705
50	197	3678
51	200	3647
52	202	3612
53	204	3583
54	207	3564
55	209	3535
56	211	3506
57	214	3478
58	216	3452
59	218	3430
60	221	3404
61	223	3376
62	225	3351
63	227	3327
64	229	3303
65	232	3289
66	234	3269
67	237	3253
68	239	3235
69	242	3217
70	244	3196
71	246	3177
72	248	3160
73	250	3140
74	253	3124
75	255	3106
76	258	3100
77	260	3082
78	263	3068
79	265	3052
80	267	3037
81	270	3023
82	272	3009
83	274	2996
84	277	2983
85	279	2970
86	282	2960
87	285	2954
88	287	2939
89	289	2927
90	291	2915
91	294	2904
92	296	2891
93	298	2880
94	301	2870
95	303	2858
96	305	2846
97	308	2835
98	311	2830
99	313	2820
100	315	2809
101	318	2800
102	320	2788
103	322	2780
104	325	2771
105	327	2762
106	329	2752
107	332	2743
108	333	2729
109	336	2721
110	338	2711
111	340	2701
112	343	2694
113	345	2686
114	347	2676
115	350	2668
116	352	2660
117	354	2650
118	356	2641
119	359	2637
120	362	2633
121	364	2624
122	366	2616
123	369	2609
124	371	2601
125	373	2594
126	375	2584
127	378	2575
128	380	2567
129	382	2559
130	384	2551
131	387	2548
132	389	2539
133	391	2532
134	394	2526
135	396	2519
136	398	2512
137	401	2505
138	403	2499
139	405	2492
140	408	2486
141	410	2479
142	413	2476
143	415	2470
144	417	2463
145	419	2456
146	421	2445
147	423	2439
148	425	2432
149	428	2428
150	430	2421
151	433	2415
152	435	2409
153	437	2403
154	439	2396
155	441	2390
156	444	2385
157	446	2379
158	448	2374
159	451	2368
160	453	2363
161	455	2357
162	457	2351
163	460	2345
164	462	2340
165	464	2335
166	467	2329
167	469	2324
168	471	2318
169	473	2312
170	474	2300
171	476	2295
172	479	2290
173	481	2285
174	483	2281
175	486	2275
176	489	2274
177	491	2268
178	493	2264
179	495	2259
180	498	2255
181	501	2252
182	503	2247
183	505	2243
184	508	2238
185	510	2234
186	512	2229
187	515	2225
188	517	2221
189	519	2216
190	522	2211
191	524	2207
192	526	2201
193	528	2197
194	531	2192
195	533	2187
196	535	2182
197	537	2176
198	540	2173
199	542	2168
200	544	2164
201	546	2160
202	549	2155
203	551	2151
204	553	2146
205	555	2142
206	557	2137
207	560	2133
208	562	2129
209	565	2126
210	567	2122
211	569	2117
212	571	2113
213	574	2109
214	576	2104
215	578	2099
216	580	2095
217	583	2092
218	585	2087
219	587	2082
220	590	2082
221	593	2079
222	595	2074
223	597	2070
224	600	2067
225	602	2063
226	604	2058
227	606	2053
228	608	2049
229	610	2045
230	613	2042
231	616	2040
232	618	2036
233	620	2032
234	623	2028
235	625	2024
236	627	2020
237	629	2016
238	632	2012
239	634	2008
240	636	2004
241	638	2001
242	641	1998
243	644	1995
244	646	1992
245	648	1988
246	651	1985
247	653	1981
248	655	1977
249	658	1974
250	660	1971
251	662	1967
252	665	1964
253	668	1962
254	670	1959
255	673	1956
256	675	1952
257	678	1950
258	680	1946
259	682	1943
260	685	1939
261	687	1936
262	690	1933
263	692	1929
264	695	1928
265	697	1924
266	699	1921
267	702	1917
268	705	1916
269	707	1912
270	709	1909
271	712	1905
272	714	1902
273	717	1900
274	719	1896
275	722	1894
276	724	1891
277	726	1887
278	728	1883
279	731	1880
280	733	1876
281	735	1873
282	737	1869
283	740	1866
284	742	1862
285	745	1859
286	747	1858
287	750	1854
288	752	1850
289	754	1847
290	756	1843
291	759	1840
292	761	1837
293	763	1833
294	765	1830
295	768	1826
296	770	1823
297	773	1822
298	775	1818
299	778	1816
300	780	1812
301	782	1809
302	785	1805
303	787	1802
304	789	1799
305	791	1795
306	794	1792
307	796	1789
308	799	1788
309	801	1784
310	804	1781
311	806	1778
312	808	1774
313	810	1771
314	812	1767
315	815	1764
316	817	1761
317	819	1758
318	821	1754
319	824	1751
320	826	1748
321	828	1745
322	831	1742
323	833	1738
324	835	1735
325	838	1733
326	840	1730
327	842	1726
328	845	1723
329	847	1720
330	850	1718
331	852	1716
332	855	1712
333	857	1709
334	859	1706
335	862	1703
336	864	1700
337	866	1697
338	869	1694
339	871	1691
340	873	1688
341	876	1686
342	878	1683
343	881	1680
344	883	1677
345	885	1673
346	887	1670
347	889	1667
348	892	1664
349	894	1661
350	896	1658
351	899	1655
352	901	1653
353	904	1649
354	906	1646
355	908	1643
356	910	1640
357	913	1637
358	915	1634
359	917	1631
360	920	1628
361	922	1625
362	924	1622
363	927	1620
364	930	1617
365	932	1615
366	935	1612
367	937	1609
368	939	1606
369	941	1603
370	944	1600
371	946	1597
372	948	1595
373	950	1591
374	954	1590
375	956	1587
376	958	1584
377	976	1606
378	979	1605
379	982	1602
380	984	1599
381	986	1596
382	989	1594
383	991	1590
384	994	1588
385	997	1587
386	1000	1584
387	1002	1581
388	1005	1579
389	1008	1576
390	1010	1574
391	1013	1571
392	1016	1569
393	1018	1567
394	1021	1564
395	1024	1562
396	1028	1561
397	1030	1559
398	1033	1556
399	1035	1553
400	1040	1553
401	1042	1551
402	1045	1548
403	1048	1546
404	1052	1545
405	1054	1542
406	1057	1540
407	1060	1538
408	1063	1536
409	1066	1534
410	1069	1532
411	1071	1529
412	1074	1526
413	1076	1524
414	1080	1522
415	1083	1521
416	1086	1519
417	1089	1516
418	1092	1514
419	1095	1512
420	1098	1511
421	1101	1509
422	1104	1506
423	1107	1504
424	1109	1501
425	1112	1499
426	1115	1497
427	1119	1495
428	1122	1494
429	1126	1493
430	1129	1490
431	1131	1488
432	1135	1486
433	1137	1483
434	1140	1480
435	1142	1478
436	1145	1476
437	1149	1474
438	1154	1474
439	1158	1473
440	1162	1473
441	1169	1476
442	1178	1482
443	1186	1485
444	1191	1485
445	1195	1485
446	1213	1501
447	1239	1527
448	1243	1526
449	1249	1527
450	1253	1525
451	1258	1525
452	1264	1527
453	1267	1524
454	1269	1521
455	1274	1521
456	1277	1518
457	1280	1515
458	1283	1512
459	1285	1509
460	1288	1506
461	1291	1504
462	1295	1502
463	1298	1500
464	1302	1498
465	1305	1496
466	1308	1493
467	1312	1491
468	1315	1489
469	1317	1486
470	1320	1482
471	1323	1480
472	1326	1477
473	1330	1476
474	1334	1474
475	1336	1471
476	1340	1470
477	1344	1468
478	1347	1465
479	1350	1462
480	1353	1459
481	1355	1456
482	1358	1454
483	1362	1452
484	1366	1450
485	1369	1448
486	1371	1445
487	1375	1442
488	1378	1440
489	1381	1437
490	1384	1435
491	1387	1432
492	1390	1430
493	1394	1428
494	1397	1425
495	1401	1424
496	1404	1421
497	1409	1420
498	1412	1417
499	1414	1414
500	1417	1411
501	1420	1408
502	1423	1406
503	1427	1404
504	1430	1401
505	1432	1398
506	1436	1396
507	1440	1394
508	1443	1392
509	1446	1389
510	1448	1386
511	1451	1383
512	1454	1380
513	1457	1377
514	1461	1376
515	1465	1374
516	1468	1372
517	1472	1370
518	1476	1367
519	1479	1365
520	1482	1363
521	1485	1360
522	1488	1357
523	1492	1355
524	1495	1352
525	1497	1349
526	1500	1346
527	1503	1343
528	1507	1341
529	1509	1339
530	1512	1335
531	1515	1333
532	1517	1329
533	1520	1327
534	1523	1324
535	1526	1321
536	1529	1318
537	1532	1315
538	1534	1312
539	1538	1310
540	1541	1307
541	1544	1304
542	1546	1301
543	1549	1298
544	1551	1295
545	1554	1292
546	1558	1290
547	1560	1287
548	1563	1284
549	1565	1280
550	1568	1278
551	1571	1275
552	1574	1272
553	1577	1269
554	1579	1266
555	1583	1264
556	1586	1261
557	1588	1258
558	1591	1255
559	1594	1252
560	1599	1251
561	1602	1249
562	1610	1249
563	1613	1247
564	1616	1244
565	1619	1241
566	1622	1238
567	1625	1235
568	1627	1233
569	1630	1230
570	1633	1227
571	1637	1224
572	1641	1223
573	1644	1220
574	1647	1217
575	1651	1215
576	1654	1213
577	1657	1210
578	1659	1207
579	1663	1204
580	1666	1201
581	1669	1199
582	1672	1196
583	1676	1194
584	1680	1191
585	1683	1189
586	1686	1186
587	1688	1183
588	1691	1180
589	1694	1177
590	1696	1174
591	1700	1171
592	1703	1169
593	1706	1166
594	1709	1163
595	1713	1161
596	1716	1158
597	1719	1155
598	1722	1152
599	1724	1149
600	1727	1147
601	1731	1144
602	1734	1142
603	1737	1139
604	1740	1136
605	1743	1133
606	1747	1131
607	1750	1128
608	1753	1125
609	1756	1122
610	1759	1119
611	1761	1117
612	1765	1114
613	1768	1111
614	1771	1108
615	1773	1105
616	1777	1103
617	1779	1100
618	1782	1097
619	1785	1094
620	1787	1091
621	1790	1088
622	1792	1084
623	1795	1082
624	1798	1079
625	1801	1076
626	1803	1072
627	1807	1070
628	1809	1067
629	1812	1064
630	1814	1060
631	1816	1057
632	1818	1054
633	1821	1051
634	1823	1048
635	1825	1044
636	1828	1041
637	1830	1038
638	1832	1035
639	1834	1032
640	1837	1028
641	1839	1025
642	1841	1022
643	1844	1019
644	1846	1016
645	1848	1013
646	1851	1009
647	1853	1006
648	1855	1003
649	1858	1000
650	1860	997
651	1862	994
652	1864	990
653	1866	987
654	1869	984
655	1871	981
656	1873	978
657	1875	975
658	1878	971
659	1880	968
660	1883	966
661	1885	962
662	1888	959
663	1890	956
664	1892	953
665	1894	950
666	1897	947
667	1899	943
668	1901	940
669	1903	937
670	1905	934
671	1908	931
672	1910	928
673	1912	925
674	1914	921
675	1917	918
676	1919	915
677	1921	912
678	1924	909
679	1927	906
680	1929	903
681	1931	900
682	1934	897
683	1936	894
684	1938	891
685	1940	888
686	1943	885
687	1945	882
688	1947	879
689	1976	888
690	1979	885
691	1982	882
692	1984	879
693	1987	876
694	1990	873
695	1993	870
696	1995	867
697	1998	864
698	2001	861
699	2003	858
700	2006	855
701	2008	852
702	2010	849
703	2012	846
704	2015	843
705	2017	840
706	2019	837
707	2022	834
708	2024	830
709	2026	827
710	2028	824
711	2030	821
712	2033	818
713	2035	815
714	2038	812
715	2041	809
716	2043	806
717	2046	803
718	2048	800
719	2050	797
720	2053	794
721	2055	791
722	2057	788
723	2060	785
724	2062	782
725	2064	779
726	2067	776
727	2069	773
728	2072	770
729	2074	767
730	2076	764
731	2078	761
732	2081	758
733	2083	754
734	2085	751
735	2087	748
736	2089	745
737	2093	743
738	2095	740
739	2098	737
740	2100	734
741	2102	731
742	2104	728
743	2107	725
744	2109	721
745	2111	718
746	2113	715
747	2115	712
748	2118	709
749	2120	706
750	2122	703
751	2124	700
752	2127	697
753	2129	694
754	2131	691
755	2133	688
756	2135	685
757	2138	682
758	2141	679
759	2143	677
760	2146	674
761	2148	671
762	2150	668
763	2153	665
764	2155	662
765	2157	659
766	2160	656
767	2162	653
768	2164	650
769	2167	647
770	2170	644
771	2172	641
772	2174	638
773	2177	635
774	2179	632
775	2181	629
776	2184	626
777	2186	623
778	2188	620
779	2190	617
780	2192	614
781	2195	612
782	2198	609
783	2200	606
784	2203	603
785	2205	600
786	2207	597
787	2209	594
788	2211	591
789	2214	588
790	2216	585
791	2218	582
792	2221	579
793	2223	576
794	2226	574
795	2228	571
796	2230	568
797	2233	565
798	2235	562
799	2237	559
800	2239	556
801	2242	553
802	2244	550
803	2247	547
804	2249	544
805	2251	541
806	2253	539
807	2256	536
808	2258	533
809	2260	530
810	2263	527
811	2265	524
812	2267	521
813	2269	518
814	2272	515
815	2275	513
816	2277	510
817	2279	507
818	2281	504
819	2284	501
820	2286	498
821	2288	495
822	2290	492
823	2293	489
824	2295	486
825	2298	484
826	2301	481
827	2303	478
828	2305	475
829	2307	472
830	2310	469
831	2312	466
832	2314	464
833	2317	461
834	2319	458
835	2321	455
836	2324	452
837	2326	449
838	2328	446
839	2331	444
840	2333	441
841	2335	438
842	2337	435
843	2340	432
844	2342	429
845	2344	426
846	2346	423
847	2349	421
848	2352	418
849	2354	415
850	2356	412
851	2358	409
852	2361	406
853	2363	404
854	2366	401
855	2368	398
856	2370	395
857	2372	392
858	2375	389
859	2377	387
860	2380	384
861	2382	381
862	2384	378
863	2386	375
864	2389	372
865	2391	370
866	2394	367
867	2396	364
868	2400	361
869	2405	359
870	2407	356
871	2410	353
872	2412	351
873	2415	348
874	2418	345
875	2420	342
876	2423	339
877	2425	337
878	2428	334
879	2430	331
880	2433	328
881	2435	325
882	2438	323
883	2440	320
884	2443	317
885	2445	314
886	2448	311
887	2450	309
888	2453	306
889	2455	303
890	2458	300
891	2461	297
892	2463	295
893	2466	292
894	2468	289
895	2471	286
896	2474	284
897	2476	281
898	2478	278
899	2481	275
900	2484	272
901	2486	270
902	2489	267
903	2492	264
904	2495	261
905	2497	259
906	2501	256
907	2505	253
908	2507	251
909	2510	248
910	2512	245
911	2514	242
912	2517	239
913	2520	237
914	2522	234
915	2524	231
916	2527	228
917	2529	225
918	2531	223
919	2534	220
920	2537	217
921	2539	214
922	2542	212
923	2544	209
924	2547	206
925	2549	203
926	2551	200
927	2554	198
928	2556	195
929	2559	192
930	2561	189
931	2563	187
932	2565	184
933	2567	181
934	2570	178
935	2573	175
936	2575	173
937	2577	170
938	2579	167
939	2581	164
940	2584	162
941	2586	159
942	2588	156
943	2591	153
944	2593	150
945	2595	148
946	2598	145
947	2600	142
948	2603	139
949	2605	137
950	2607	134
951	2610	131
952	2613	128
953	2615	126
954	2618	123
955	2621	120
956	2623	117
957	2626	115
958	2629	112
959	2631	109
960	2634	106
961	2637	104
962	2639	101
963	2642	98
964	2645	95
965	2649	93
966	2652	90
967	2654	87
968	2657	85
969	2659	82
970	2661	79
971	2663	76
972	2666	73
973	2668	71
974	2670	68
975	2673	65
976	2675	62
977	2678	60
978	2680	57
979	2683	54
980	2685	52
981	2688	49
982	2690	46
983	2692	43
984	2695	41
985	2697	38
986	2699	35
987	2701	32
988	2703	30
989	2706	27
990	2709	24
991	2711	21
992	2713	19
993	2715	16
994	2718	13
995	2720	10
996	2722	8
997	2724	5
998	2726	2
999	2729	0
